original_description,variant_description,similarity_label
Severe headache with sensitivity to light and sound.,"I've been getting terrible headaches, and bright lights and loud noises really make it worse.",1
Severe headache with sensitivity to light and sound.,I felt a sharp pain in my lower back after I lifted something heavy yesterday.,0
Persistent nausea and vomiting over several days.,I've been feeling nauseous and throwing up repeatedly for a few days now.,1
Persistent nausea and vomiting over several days.,One of my legs started swelling and turning red suddenly.,0
Chest pain that worsens with exertion.,"Whenever I exercise, I get this uncomfortable chest pain that doesn't go away easily.",1
Chest pain that worsens with exertion.,"My skin is itchy, and I've got this rash on my arms and legs.",0
Frequent urination with burning sensation.,"I need to pee all the time, and it burns whenever I go.",1
Frequent urination with burning sensation.,"Lately, my vision has been blurry and sometimes I see flashing lights.",0
Muscle weakness in arms and legs.,"My arms and legs feel weak, and I struggle to lift things I usually can.",1
Muscle weakness in arms and legs.,I get short of breath whenever I try to exercise or do something active.,0
Sudden weight gain with swelling in legs.,I've gained a lot of weight quickly and my legs are swollen.,1
Sudden weight gain with swelling in legs.,I've been coughing a lot and sometimes I cough up green mucus.,0
Difficulty swallowing solid foods.,It's hard for me to swallow solid food; liquids go down easier.,1
Difficulty swallowing solid foods.,Sometimes my fingers and toes go numb for no clear reason.,0
Chronic fatigue that worsens with activity.,"I feel exhausted all the time, especially after doing anything physical.",1
Chronic fatigue that worsens with activity.,I often have headaches behind my eyes that come and go.,0
Painful urination with cloudy urine.,"It hurts when I pee, and the urine looks cloudy.",1
Painful urination with cloudy urine.,I sometimes get sharp chest pain that doesn't seem to be related to moving around.,0
High fever lasting more than three days.,My fever has been really high and hasn't gone down for over three days.,1
High fever lasting more than three days.,My eyes and mouth feel really dry and irritated all the time.,0
Loss of appetite with unexplained weight loss.,I don't feel like eating and have lost weight without trying.,1
Loss of appetite with unexplained weight loss.,I noticed swollen lumps in my neck that weren't there before.,0
Intermittent episodes of dizziness when standing up.,I feel dizzy and lightheaded whenever I stand up quickly.,1
Intermittent episodes of dizziness when standing up.,My throat has been sore for a while and my voice sounds hoarse.,0
Severe abdominal cramping with diarrhea.,My stomach cramps badly and I've been having diarrhea.,1
Severe abdominal cramping with diarrhea.,The skin around my fingernails is swollen and painful.,0
Chronic cough producing blood-tinged sputum.,I've had a cough for a long time and sometimes cough up blood.,1
Chronic cough producing blood-tinged sputum.,My legs twitch a lot when I'm resting.,0
Blurred vision and eye pain.,My vision is blurry and my eyes hurt.,1
Blurred vision and eye pain.,I suddenly lost feeling on one side of my face.,0
Swelling and redness around joints.,"My joints are swollen and red, and they hurt.",1
Swelling and redness around joints.,I get headaches sometimes but nothing else.,0
Persistent dry mouth and increased thirst.,"My mouth feels dry all the time, and I'm drinking way more than usual.",1
Persistent dry mouth and increased thirst.,I get skin infections often that produce pus.,0
Shortness of breath at rest.,I get out of breath even when I'm just sitting still.,1
Shortness of breath at rest.,I get sudden stomach pain after eating.,0
Severe leg pain after walking short distances.,My legs hurt so much after just a little walking.,1
Severe leg pain after walking short distances.,I have a rash with little blisters on my torso.,0
Unexplained bruising and bleeding easily.,I bruise really easily and bleed even from small bumps.,1
Unexplained bruising and bleeding easily.,I sneeze a lot and have a runny nose every spring.,0
Loss of consciousness for brief periods.,Sometimes I faint for a few moments but then come to quickly.,1
